E_Use,Y1,Y2,Y3,Y4
828491.6560412239,0.0,0.0,0.0,0.0
952944.1233383048,-3.45,3.4,1.3,-2.5
912332.0263867629,-2.3,0.3,2.7,-1.4
888508.5840262277,-2.3,-0.5,1.1,3.4
896669.7910418108,-0.2,3.2,-1.3,-3.4
860065.9311739327,-0.55,-1.5,1.3,1.5
891637.0689673667,-2.85,-0.1,2.0,1.9
870158.6839525738,2.55,-2.4,-1.2,2.1
862515.1059409135,-1.05,1.1,0.0,-0.1
862033.1740421175,1.5,2.5,-2.8,-2.4
900200.3615157115,1.8,-3.5,0.1,3.2
855690.6561363002,-0.25,-1.5,1.2,1.1
851848.1490381873,2.05,2.1,-3.0,-2.3
856118.2670952572,0.7,0.2,0.7,-3.2
921080.7619700014,2.05,-3.2,2.5,-2.7
853364.1105849756,1.7,-1.4,-1.4,2.2
840029.3850125656,0.2,0.1,-0.6,0.6
908447.4274987611,-2.1,0.3,2.6,-1.6
868901.227523992,0.8,-0.9,-1.6,3.4
885854.8618199351,1.9,-2.7,1.3,-1.0
854686.7652660501,1.65,2.0,-2.7,-1.9
893370.4830480631,0.65,-1.4,2.3,-3.1
887018.4566011907,1.9,-3.0,-0.3,2.8
923988.0989767271,-2.2,2.8,1.0,-3.2
930569.6619971227,-2.9,0.0,3.4,-1.0
842092.090681573,0.8,0.4,-0.2,-2.0
878282.1658499504,-1.15,0.7,-0.6,2.1
879891.1815143038,-1.35,-2.2,2.4,2.3
885938.4047030474,-0.35,1.3,-1.8,1.7
900289.4039187947,-1.7,2.7,-0.8,-0.4
853357.0849540813,2.5,-0.7,-2.1,0.6
833493.4142094683,0.35,0.2,-0.2,-0.7
847060.8650183454,0.65,-0.9,-0.2,0.9
941942.1152169126,-3.25,3.1,1.2,-2.1
852712.5459100846,1.3,1.8,-1.6,-3.0
853771.8715340975,1.35,0.1,-1.9,0.9
889129.3355953676,0.35,0.7,-2.7,3.3
908612.934478131,-1.0,3.4,-2.0,-0.8
849628.6703589933,0.45,-1.5,0.7,0.7
904758.3974672833,-2.0,2.9,-0.5,-0.8
928694.2438433073,-1.75,2.1,-1.9,3.1
840372.0617793389,2.35,0.9,-2.0,-2.5
855901.789171772,1.8,2.3,-2.4,-3.4
919354.9829838686,1.6,-2.8,2.7,-3.0
920873.7694138922,2.95,-3.5,2.0,-2.9
839887.0793291439,1.15,0.7,-1.4,-0.9
837387.4965175954,2.7,-1.0,-0.8,-1.8
880036.5974408326,2.4,-1.9,1.0,-3.0
837773.820026793,1.45,1.2,-1.6,-2.1
843788.207602144,2.8,0.9,-2.2,-3.0
862425.7466446134,-0.7,-0.1,-0.5,2.6
867858.1680564065,1.25,2.8,-2.5,-3.1
859706.526008676,2.35,-0.9,-2.2,1.5
918153.3233374852,-3.35,0.1,2.8,0.9
857316.2213532623,-0.2,-1.4,0.9,1.4
890837.8859389625,-1.7,0.9,-0.4,2.4
870382.6565545661,2.5,-1.4,-2.4,2.6
907925.7872648705,-2.45,2.1,-0.3,1.3
875171.5011083328,-0.65,-2.1,2.0,1.5
837668.1365041346,1.45,-0.1,-0.4,-1.9
891967.1478810401,-0.05,-2.3,2.5,-0.3
882035.0062594307,2.4,-1.0,-2.9,3.0
859033.6673589979,2.65,-2.2,-0.9,0.9
882283.4859617957,2.75,-0.1,-3.5,1.7
878584.5350433252,0.0,-2.0,2.0,0.0
865661.82157315,-0.1,-1.6,1.5,0.4
889825.0614519297,-2.4,0.1,0.6,3.4
867668.525046679,1.15,-2.3,0.4,1.5
875040.4509662176,3.25,-1.5,-2.9,2.3
972438.9009061308,-2.6,3.4,-2.5,3.4
848388.5079661593,0.75,0.7,0.1,-3.1
885821.4467343765,-0.5,-2.6,1.6,3.0
872751.5240380729,2.35,-0.5,-2.8,1.9
845901.8940363589,3.35,-1.9,-1.3,-0.3
897220.2474128983,-1.9,-2.5,3.2,2.4
862013.1683620615,-1.35,-0.1,1.0,0.9
849843.1860390254,-0.7,0.3,0.5,-0.2
873682.8565435094,-1.4,1.2,0.6,-0.8
893708.1583766548,-2.95,0.0,2.0,1.9
870932.7576588636,3.35,-2.9,-0.8,0.7
871339.7558907758,2.85,-2.2,-2.2,3.1
843524.7010335986,1.4,0.0,0.0,-2.8
847505.014560284,1.4,1.9,-2.1,-2.4
837783.4768706679,1.0,-0.5,-0.1,-0.8
833033.7569741805,3.05,-1.0,-1.2,-1.7
864692.4002208228,-1.4,-0.2,0.9,1.4
858713.8711403244,0.15,1.1,0.0,-2.5
835102.967495939,1.7,-0.6,-0.5,-1.2
932048.1147211607,-2.1,2.0,-1.6,3.4
834798.8680584631,1.85,-0.4,-0.7,-1.5
866831.987163794,3.4,-2.2,-2.3,2.2
855793.8408563806,1.55,-0.9,-1.6,1.9
845841.4635565316,1.05,1.0,-1.7,-0.7
865860.0357435214,0.4,-1.8,1.3,0.2
935405.1027277596,-2.2,2.1,-1.6,3.4
870318.6231242124,-1.25,-0.4,0.2,2.9
899351.1258125175,-0.1,-1.5,2.8,-2.4
888573.2071436885,-0.2,2.0,-2.1,0.6
876565.4110565012,-1.9,0.2,0.7,2.0
874737.7909492417,-1.5,-1.6,1.6,3.0
847132.3141891342,0.4,0.8,-1.1,-0.2
857509.244354078,0.05,-0.3,-1.0,2.5
869833.4739429542,2.4,-1.4,-2.3,2.6
912021.4610264869,-0.45,2.9,-2.7,0.5
866391.38622628,2.35,-2.2,-1.2,2.1
906797.3549688626,-1.2,0.1,2.8,-3.4
882707.6700543594,1.55,-2.9,0.2,2.3
886026.4768086078,0.45,0.6,-2.7,3.3
858782.1104380431,2.25,-2.3,-0.1,0.3
879077.0020793511,-0.5,0.7,-1.4,2.4
835545.9061706618,0.4,0.1,-0.5,0.0
852795.4706963276,-0.15,-0.9,0.3,1.5
838164.7276552034,0.5,-0.3,0.1,-0.6
878061.6255152976,-2.3,-0.1,1.6,1.6
848966.9799987637,1.85,-0.6,0.0,-2.5
884964.5058451528,-2.4,0.5,0.6,2.6
850018.2461472849,0.3,0.6,-1.1,0.4
867874.4079370508,-1.35,0.5,1.0,-0.3
841805.9915765333,2.2,0.3,-1.1,-2.8
858369.9827701258,-0.9,-0.1,1.0,0.0
845072.1614544735,-0.35,0.5,-0.2,0.1
865415.3844973019,0.35,-1.8,1.3,0.3
841345.6620402338,-0.05,0.3,0.2,-0.9
840705.0798011649,1.55,0.4,-0.7,-2.5
890612.8146527824,0.3,0.7,-2.7,3.4
895440.037104345,-3.1,0.6,1.6,1.8
842187.6995781421,0.7,-0.3,0.2,-1.2
880323.7754920124,-1.7,0.0,0.0,3.4
853353.8798192975,-0.7,0.5,-0.1,0.6
836852.9045693665,0.55,0.4,-0.3,-1.3
845390.0815988863,-0.4,0.0,0.5,-0.2
842324.9506068877,1.4,-0.2,-1.2,0.0
851127.0921090043,2.0,-1.8,-0.4,0.4
896440.4273470185,-2.2,-1.0,2.8,0.8
836972.8230452265,1.4,-0.6,-0.3,-1.0
846911.4597813392,1.2,0.7,-1.7,-0.4
857445.5816420572,-0.85,0.9,-0.1,0.1
934802.3371472022,-2.1,2.1,-1.7,3.4
881476.6225655994,-2.35,-0.2,1.8,1.5
857780.78014578,2.3,-1.9,-1.2,1.6
879621.5581411563,-1.3,1.8,-0.1,-0.8
905012.3490578784,-1.8,1.2,-0.9,3.0
841943.6407779023,0.15,-0.2,-0.5,1.1
855129.9367924037,1.6,-0.9,-1.6,1.8
856551.0373242829,0.55,-1.0,-0.8,2.5
865113.1729742711,0.55,1.4,-2.0,0.1
868951.1800639429,2.5,-1.5,-2.3,2.6
875343.234017539,0.15,-2.3,0.9,2.5
843706.1541009436,0.05,0.5,-0.6,0.1
874361.125692113,-1.8,0.2,0.6,2.0
875806.0888958804,-1.95,0.3,0.6,2.1
855016.3966773765,1.0,1.9,-2.1,-1.6
845734.6168933675,0.7,0.7,0.0,-2.8
901960.6355595753,-2.15,1.1,-0.3,2.7
848091.484331891,1.75,-1.5,-0.7,0.9
880371.843268271,1.25,-1.6,1.6,-2.5
893658.4211629375,-2.75,-0.5,1.9,2.7
882132.9836900572,-2.25,-0.1,1.1,2.5
872777.0150946763,-2.2,0.9,0.8,1.0
842352.3933956337,1.5,-1.0,-0.7,0.4
856577.8783109222,-0.8,0.6,-0.1,0.6
904599.1797562815,-2.3,1.0,-0.2,3.0
852525.9426010117,0.7,-0.8,0.6,-1.0
887917.0831039065,-2.5,0.6,1.6,0.6
834622.6411193449,0.85,-0.6,-0.2,-0.1
846540.8307693888,-0.6,-0.1,0.3,0.8
873609.8028896422,0.05,-2.2,0.9,2.5
855056.8156352086,0.5,0.2,-1.4,1.4
880959.1642105078,-2.35,0.6,0.8,1.9
852092.9192960763,-0.65,0.5,-0.1,0.5
837482.3262703274,-0.25,0.2,0.1,-0.1
866641.0109927328,-1.35,-0.5,0.9,1.9
885886.3768671238,-2.55,-0.1,1.6,2.1
863895.0110605778,-0.15,-0.8,1.4,-0.9
850801.7215829869,1.1,-1.2,0.4,-0.6
870372.8085004927,-1.9,-0.6,1.6,1.8
842858.1584691051,-0.25,-0.5,0.6,0.3
868622.3670571898,-0.55,0.3,-0.9,2.3
843388.9555000874,0.8,-0.3,0.2,-1.4
856813.7735401616,-1.2,0.4,0.4,0.8
872667.3612062994,3.2,-2.6,0.2,-1.6
871704.2608343336,-1.8,-0.1,1.0,1.8
844622.3202501367,-0.3,0.5,-0.2,0.0
860592.2162442497,-0.85,0.5,-0.2,1.1
875521.7766881082,-1.8,-0.1,1.5,0.8
842484.7228302782,0.4,-0.7,0.3,0.0
829714.9064205443,0.2,-0.1,-0.1,0.0
893912.8945968248,-3.05,0.6,1.6,1.7
853987.4365466349,-0.8,-0.2,0.9,0.2
847141.8859318828,3.0,-1.4,-0.5,-2.2
880653.6699821405,-2.2,-0.1,1.1,2.4
855451.2060140521,0.45,-0.2,-1.2,1.9
877216.9062065502,-1.8,0.6,0.2,2.0
844850.9494272389,-0.05,0.4,0.3,-1.3
