E_Use,Y1,Y2,Y3,Y4
898588.8150330182,-1.5,-1.7,3.0,0.3
866620.7088909128,-1.2,-0.5,1.1,1.1
888644.9747266326,2.0,-3.1,0.5,1.3
909924.9722993554,0.6,1.9,-3.5,2.1
931082.113779587,-2.7,2.8,-0.6,1.0
948308.8620916856,-3.3,2.9,1.4,-2.1
918795.7285036995,-2.1,0.1,2.9,-1.8
876410.9880175322,0.4,-0.9,1.5,-2.0
960908.3952203209,-3.3,3.4,1.4,-3.1
843193.1504937437,2.0,0.1,-1.2,-1.8
890089.8675849811,-1.1,2.5,-0.8,-1.2
851355.1894946942,0.6,0.8,-1.2,-0.4
849654.4830334749,1.7,1.6,-1.9,-2.7
850397.771176101,0.4,-0.6,-0.3,1.0
857675.6530351522,0.4,-1.1,0.2,1.1
913934.8946810114,-1.8,2.7,0.1,-2.1
895576.191429656,2.1,-3.2,1.1,0.0
882279.6570493479,2.1,-2.2,-1.6,3.5
923562.9687538749,0.1,2.4,-3.5,2.1
861851.6934544384,0.0,1.1,-0.3,-1.6
892176.1848246285,0.5,-2.9,1.7,1.4
881957.8817689047,-1.2,-1.6,1.3,2.9
898948.7494759646,-1.6,1.8,-0.7,0.9
863166.8016462724,1.9,0.9,-2.6,-0.4
886076.7916468445,-1.8,-1.9,2.4,2.6
851153.0380421631,1.5,1.5,-2.2,-1.6
885763.8932346844,-1.9,-1.4,2.2,2.1
860426.4248228106,3.4,0.6,-3.1,-1.7
870493.8573543661,0.2,1.5,-0.3,-2.8
898860.7067326575,3.1,-2.4,1.0,-3.4
915073.9834600217,-0.3,3.1,-2.8,0.0
856986.3237209264,2.2,0.4,-2.3,-0.5
857719.5684690027,-0.9,0.0,0.6,0.6
879888.497407557,1.5,-0.4,-2.5,2.9
863151.094303476,1.5,-1.6,-0.6,1.5
876560.3797459772,-1.8,0.6,0.9,0.6
893795.926002836,3.1,-3.5,-0.1,1.1
913669.4150556126,-2.6,1.0,0.0,3.1
915606.1612985424,0.8,-2.5,2.8,-2.2
920147.5201866224,-2.6,2.9,-0.3,-0.1
944952.6673125435,-0.9,3.4,-3.3,1.5
882255.2989755864,1.9,-2.7,0.8,0.1
920252.2647368571,-1.4,0.1,3.0,-3.4
935571.6512419067,-3.1,3.4,-0.3,-0.1
877189.0443910407,0.5,2.6,-1.9,-2.5
857620.512922902,-0.5,0.7,0.1,-0.5
887003.690277442,3.3,-1.7,-3.0,2.9
882583.3824508508,-1.0,2.0,-0.4,-1.1
916749.2304728744,-1.3,-0.4,3.2,-3.0
843185.1690504798,2.0,-0.3,-1.3,-0.7
942462.813439228,-0.7,3.0,-3.4,2.2
891467.2781339186,2.8,-3.5,0.4,0.6
950901.14048902,-3.1,2.7,-0.9,2.5
905578.3656394049,0.6,3.3,-3.3,-1.2
886234.1900282266,2.9,-2.4,0.6,-2.2
917805.1616393866,-3.4,-0.2,2.1,2.9
954169.4614606388,-2.1,2.8,-2.4,3.4
850490.9267305968,1.2,-0.9,0.1,-0.7
868774.5165108114,0.3,-1.3,-0.4,2.9
976757.106365112,-3.4,3.2,-1.6,3.5
887154.9895602253,-0.7,-1.7,2.2,0.3
859971.6958661338,1.5,-1.8,0.2,0.2
880965.7584203203,-1.5,-1.5,2.2,1.5
921434.8459476996,-2.4,-0.6,3.4,-0.7
901421.0473293902,1.1,-3.4,1.2,2.3
895243.4885691802,0.2,-2.9,1.5,2.4
931480.9836219394,-2.7,0.6,2.9,-1.7
892034.1461499053,-2.0,1.6,0.4,-0.1
886329.7548027411,-0.7,0.4,1.7,-2.7
889708.1999150673,-1.0,0.6,-1.1,3.0
902233.0081352051,-0.9,-3.0,2.6,2.5
879896.4970334426,2.0,-0.9,-2.5,2.8
889323.4845214277,-2.0,-0.7,1.3,2.8
872799.8429204163,0.8,-1.5,1.2,-0.9
