E_Use,Y1,Y2,Y3,Y4
867590.3966,2.4,-0.8,-2.5,1.8
901995.6687,-2.3,-1.2,3.1,0.7
948170.872,-1.4,3.5,-3,1.8
900124.9294,-1.7,-1,3,-0.6
898208.0512,-2.6,1.9,0.7,-0.1
887980.1576,-2.6,0.7,0.8,2.2
894735.7021,1,1.4,-3.5,2.2
914854.2426,0.2,2.6,-3.4,1.1
897120.8586,-2,-2.4,3.3,2.3
919564.2236,-3.3,2.3,0.4,1.1
829366.1929,2.3,-0.6,-1.1,-1.2
906703.3952,0.7,-1.9,2.8,-3.1
916143.5469,-3.4,0.5,2.5,0.8
921619.1288,-3,1.3,2.4,-1.4
866863.9883,-0.6,-0.2,1.5,-1.3
879037.1484,-1.1,1.3,-0.7,1
900420.3038,0,-1.3,2.8,-3
884935.3463,-2.1,1.3,0.3,1
851675.9491,0.4,1.5,-1.2,-1.4
944095.5844,-1.8,3,-2.4,2.4
948484.5016,-3.5,2.2,-0.5,3.5
901934.5243,-0.6,3.1,-0.7,-3.5
849218.3417,0.5,-0.8,0.6,-0.5
910343.3322,-3.1,1.2,2,-0.2
888398.3166,1.3,0.2,-3.1,3.2
905734.7618,-1.2,-0.3,2.9,-2.9
912239.9691,1,-3.2,2.6,-0.8
914289.1818,-2.4,-0.5,3.1,-0.5
883100.167,0.7,-2.7,0.7,2.7
902566.7871,-3.3,1.1,1.1,2.2
889864.9544,1,3.4,-3.3,-2.2
869215.35,2.6,-1.2,-2.5,2.3
881644.3258,-2.2,0.1,1.7,0.8
880090.2142,1.6,-2.7,-0.2,2.7
930650.454,-2.7,0.1,3.4,-1.6
850755.9634,2.8,-0.3,-2.3,-0.4
908522.8265,-0.6,1.9,-2.4,2.2
881836.7406,-1.2,1.9,-0.7,-0.1
924474.7433,-1.9,0.1,3.3,-3
938495.977,-3.5,3,1,-1.1
890537.7476,0.7,0.8,-3.1,3.3
882938.1966,-2.1,-1.2,1.8,2.9
924201.5423,-3.3,1.8,2.1,-1.3
892115.6055,-1.2,1.2,-1.1,2.1
901658.2149,-0.9,2.6,-1.8,0.1
855508.6198,3.4,-2.4,-0.6,-0.8
877171.3667,0.6,2.8,-2.5,-1.7
845126.5326,2,-0.8,-1.5,0.6
897419.1891,-2.3,1.2,0,2.1
850954.8595,2.3,-1.9,-0.6,0.4
884459.3564,1.9,0.3,-3.3,2.3
916623.2328,-1.4,3.1,-1.8,0.1
885963.467,0.6,2.7,-2.8,-1.1
853300.0959,0.6,-0.4,-1.1,1.9
891321.2139,1.1,-2.6,1.9,-0.8
902005.4802,-2.7,1.8,0.3,1.1
847138.0591,0.1,0.3,-0.8,0.8
928624.3227,-2,2.4,-1.6,2.4
866799.8205,-1.5,-0.5,1.3,1.3
871989.526,1.6,-2.4,0.9,-0.2
893448.1859,-2.9,-0.1,2.1,1.9
864260.6407,1.1,-2.1,0.2,1.6
846103.7717,0.3,-0.9,0.3,0.6
889729.8794,-1.2,-2.3,2.7,1.5
845890.4291,1.8,-1.4,-0.6,0.5
839779.9141,0.4,0.3,0.1,-1.6
906618.8287,-2.3,0.8,2.3,-1.5
913977.8896,-3.1,2.4,0.7,0
863436.6674,3,-1.3,-2.5,1.7
864711.5973,-0.5,0.8,-0.8,0.9
870729.9123,-1.1,0.8,1,-1.5
892465.9684,-1.6,0.6,-0.6,3.2
842895.2411,0.7,-0.3,-0.8,0.8
898559.8389,2.7,-3,1.4,-2.1
882046.1886,-1.5,0.7,-0.3,2.1
911375.9484,-0.1,3.2,-3.1,0.1
895929.7898,-1,-1.6,3,-0.7
907326.7336,-1.6,2.7,0.1,-2.5
920535.4384,-2.1,-0.5,3.4,-1.7
871029.5135,-1.3,-1.2,1,2.9
883352.0231,-0.4,-1.5,2.2,-0.7
883843.345,1,2.1,-3.1,-0.1
906738.0576,-1.2,1.2,-1.7,3.4
884492.8653,2.4,-2.9,0.9,-0.9
878067.3059,2.8,-1.4,-2.8,2.9
934550.4538,-2.4,3,-1.3,1.3
909953.8886,-1.3,-2.9,3.4,1.5
876046.2942,1.4,3.2,-3.2,-2.7
896603.1349,-2.4,1.3,0.1,2
909559.3275,-0.9,-3.5,3.1,2.6
913079.2418,-2.4,2,1.6,-2.5
906087.2095,-3.2,-0.2,1.8,3.1
878151.1919,-0.9,0.9,1.3,-2.6
841755.9533,2.3,0,-0.9,-2.8
870064.7114,0.9,-2.1,-0.1,2.7
858112.3241,2.4,0.5,-2.7,-0.4
855558.1976,1.3,-2,0.5,0.5
904596.1686,-0.8,-2.1,3.3,-0.7
867778.0094,-0.2,-1.3,-0.1,3.2
855647.7525,2.6,-0.7,-2.2,0.6
849371.9916,2.6,-1.9,-0.3,-0.7
871845.5986,-0.4,0.4,1.3,-2.7
898172.8015,-1.1,1.6,-1.5,2
861203.4693,-0.8,0.1,-0.3,2
890294.3813,-0.8,2.9,-1.2,-1.8
911623.9091,-1,2.5,-2.1,1.2
866173.5723,-0.9,1.4,-0.4,-0.2
864940.5843,1.9,2.1,-3.3,-1.5
860386.6528,-0.1,0.2,-1.1,2
912368.9715,0.3,-3.3,2.9,0.3
925920.9232,-2.8,2.4,1.7,-2.5
888949.6753,2.4,-3,1.1,-1
850806.1045,-0.6,0.2,0.6,-0.4
883128.365,1,-2.7,1.6,0.3
868103.7709,1.9,-0.3,-2.5,1.9
860396.506,1.2,1.6,-2.5,-0.6
851642.49,1.1,-0.1,0.4,-2.8
859774.4177,0.8,-0.2,0.8,-2.9
889881.601,2.1,-3.2,-0.2,2.6
855099.0023,2.1,-0.2,-2.2,0.7
884619.004,1.7,-2.9,1.3,-0.1
905700.5758,-2.9,0,2.5,0.8
895356.6403,-1.7,1.4,1.6,-2.6
854650.6491,3.1,-0.1,-2.7,-0.5
907049.8389,-1.3,3.2,-0.8,-2.3
900309.9206,1.7,-3.1,1.9,-0.9
837385.6984,1.2,1,-1.5,-1.4
840466.4113,1.8,1.7,-2.2,-2.5
849604.6241,1.3,-1.3,-0.8,1.6
842711.2266,0.9,-0.2,0.1,-1.6
856287.1429,1.4,0.3,-2.1,0.8
886629.9237,-1.5,-0.7,2.3,-0.3
951140.8106,-2.1,3,-2.3,2.8
848644.2935,3.2,1.2,-3.1,-2.6
876184.4273,-0.2,-2.2,1,2.8
902378.8787,-1.5,2.6,0,-2.3
885677.4515,1.9,-1.8,1.5,-3.1
898440.7492,-1.5,2.2,0.5,-2.4
871062.1232,-0.8,1.5,-0.1,-1.3
895440.6527,-1,-2.2,3,0.4
886648.1504,-1.2,-1.7,2.7,0.4
869350.6575,1.3,1.6,-2.9,-0.1
885602.8378,-2,0.3,0.1,3.2
880373.238,1.3,-1.3,1.5,-3
894012.7538,-0.7,-1.5,2.8,-1.2
909428.395,-1.5,-1,3.4,-1.8
909957.1876,-3.4,0.4,1.4,3.1
901360.9232,-2.6,0.7,2,-0.3
897346.1476,0.5,2.6,-3.1,0
895150.6698,-1.6,2.5,-0.3,-1.2
857004.2646,1.7,-0.6,0.4,-2.9
862373.829,0.6,-1.7,-0.1,2.5
864668.9583,3.4,-0.7,-3,0.6
833896.5212,2.8,-0.6,-1.3,-1.8
850604.0206,-0.3,0.9,-0.5,-0.2
852906.1438,3.2,-1.3,-2.2,0.6
901428.9099,-0.3,-2.7,2.9,0.3
891043.01,-1.2,-1.1,2.9,-1.1
926577.2649,1.4,-3.4,3,-1.9
866728.7562,-0.3,1.3,-1.1,0.2
839865.9771,1.5,0.5,-0.9,-2.3
847059.1936,-0.1,-0.6,0,1.4
949854.2336,-1.8,3,-2.6,2.7
838825.9662,1.3,-0.8,-0.2,-0.6
880912.2024,-0.3,-2.2,0.7,3.5
874603.6235,1.7,-1.9,1.1,-1.9
925884.5858,1.9,-3,2.8,-3.3
926635.5307,-1.5,3,-2.1,1.3
886717.4107,1.6,0.9,-3.5,2.1
863128.2351,-0.9,-1,1.6,0.6
841319.7456,2.2,1.1,-2,-2.6
835742.7263,0.8,0.1,-0.2,-1.3
899658.065,0,3.3,-2.8,-1
878743.4628,-0.2,-2.5,1.6,2.2
880924.42,1.2,3.5,-3,-3.4
883965.7741,-2.4,-0.6,2.1,1.9
897130.8524,-0.5,2,-2.1,1.1
892137.0558,-2.7,0.6,1.7,0.8
882452.2185,1.4,-3.2,1.2,1.3
893327.0253,1.5,-3.2,1.6,0.2
873655.3198,-0.5,0.1,-1.2,3.3
846794.0808,1.1,-1.5,0.2,0.5
896538.3971,-3.2,1.1,1.4,1.3
891728.8349,-2.4,-1.8,2.9,2.6
853427.5715,0.8,-1.5,-0.1,1.7
919518.325,-2.9,2.5,1,-1.2
833008.5508,3.4,-1.2,-1.3,-1.8
857929.7274,0.5,1.6,-0.9,-2.5
911563.6887,-0.3,-2.6,3.3,-0.8
916333.0029,-1.6,3.2,-0.3,-2.7
851718.6707,2,-1.2,0.1,-1.8
846210.8996,1.5,0.4,-1.8,-0.3
875254.0399,-0.1,2.2,-0.9,-2.4
845726.9726,1.5,-0.7,0.1,-1.7
845765.7804,0.5,0.4,0.5,-2.7
864371.7951,0.9,-0.9,-1.5,3
912065.6762,-2.8,1.7,0,2.2
934730.7538,-2.1,3.2,-1.7,1.1
887303.1608,-1.9,1.3,1.3,-1.4
856866.9705,2.8,-1.8,0,-1.9
876583.9999,2.8,-1.8,0.6,-3.3
887677.4263,-1.6,2,-0.1,-0.7
911680.1607,-3.1,1.3,2,-0.4
855983.8368,-0.9,-0.4,1,0.5
951387.6284,-3,3.5,-1.2,1.4
873898.8277,-1.5,-0.5,1.7,0.7
891224.5283,-0.2,-1.4,2.5,-1.8
898459.8712,-2.4,-2.4,3.4,2.7
844961.0131,2.7,0.5,-2.4,-1.5
887493.9142,-0.8,-0.9,2.6,-1.8
868220.4789,-1.6,-0.9,1.7,1.5
920751.9005,-1.3,1.9,-2.1,3.1
882664.0231,2.1,-2.8,-0.7,2.8
912514.4033,-1.7,0.2,2.9,-2.8
